sample_id,ABCB1,ABL1,AKT1,AKT2,APC,AR,AREG,ATM,BCL2,BCL2A1,BCL2L1,BCL3,BCL6,BCR,BIRC2,BIRC5,BLM,BMI1,BRAF,BRCA1,BRCA2,CASP2,CASP10,CAV1,CCNA2,CCND1,CCND2,CCND3,CCNE1,CD34,CD44,CDC25B,CDC25C,CDH1,CDH11,CDK2,CDK4,CDK6,CDKN1A,CDKN2A,CDKN2B,CDKN2C,CEBPA,CHEK1,CLTC,COL1A1,CSF1R,CSF3,CSF3R,CSK,CTNNB1,CXCL9,CYP1A1,DAP3,DAPK1,DEK,DLC1,E2F1,E2F3,EGF,EGFR,EGR1,EPS8,ERBB2,ERBB3,ERBB4,ERCC2,ERCC4,ESR1,ETS1,ETS2,ETV1,ETV6,FANCG,FAS,FAT1,FGF1,FGF2,FGFR1,FGFR2,FGFR3,FGFR4,FGR,FLT1,FLT3,FOLR1,FOS,FOSL2,FRZB,FYN,GADD45A,GAPDH,GAS1,GATA1,GNAS,GRB7,GUSB,HCK,HDAC1,HIF1A,HMMR,HPRT1,HRAS,HSP90AB1,IFNGR1,IGF1,IGFBP2,IGFBP3,IGFBP6,IL1A,IL1B,IL4,IL6,IRF1,ITGB1,JUN,JUNB,KDR,KIT,KRAS,L1CAM,LAMB1,LCK,LIF,LMO1,LMO2,LYN,MAP3K8,MAPK10,MCL1,MET,MLH1,MMP1,MMP2,MMP3,MMP9,MMP14,MPL,MSH2,MSH6,MST1R,MTA1,MUC1,MYB,MYBL2,MYC,MYCN,NF1,NGFR,NOTCH1,NPM1,NQO1,NRAS,NTRK1,NTRK2,NTRK3,NUMA1,OGG1,PCNA,PCTK1,PDGFA,PDGFRA,PDGFRB,PGK1,PIK3CA,PIM1,PLA2G2A,PLAT,PLAUR,PLG,PML,PPARG,PRKAR1A,PTEN,PTGS2,PTHLH,PTK7,PTPN11,PTPRG,RAD54L,RAF1,RARA,RB1,REL,RET,RRM1,S100A4,SERPINE1,SFPQ,SIAH1,SOD1,SPI1,SPP1,STAT1,STAT3,SYK,TAL1,TEK,TERT,TFDP1,TFE3,TFRC,TGFA,TGFB1,TGFBI,TGFBR2,TGFBR3,THPO,TIMP1,TIMP2,TIMP3,TNF,TNFRSF1B,TNFRSF10B,TNFSF10,TOP1,TOP2A,TP53,TPR,TUBB,TYMS,TYRO3,WEE1,WFDC2,WNT1,WNT10B,WT1,XPC,XRCC5,YES1,YY1
TCGA-A1-A0SK-01,2.2061,2991.81,3135.83,2979.51,803.025,2.2061,15.758,1286.48,5259.69,17.0186,1865.11,169.556,226.284,3433.03,894.737,679.231,933.186,2256.79,241.097,1119.13,893.791,2309.17,25.2127,156.004,1597.67,279.24,114.718,1504.25,551.844,388.276,17339.7,4551.21,201.702,2826.98,642.61,2524.11,5618.97,828.553,4920.26,864.166,237.63,963.757,872.676,1422.94,10636.6,25121.0,77.214,0.0,68.7047,3116.61,5752.88,128.27,0.9455,2109.99,7075.32,14410.7,217.775,1934.13,2254.33,2.2061,353.293,694.611,3370.31,303.498,2589.66,2.5213,562.874,245.824,7.2487,849.039,1598.8,98.96,5490.7,895.682,60.1954,2611.09,65.2379,206.25,3108.1,420.738,280.807,15.1276,31.5159,852.821,218.72,23.0066,677.592,819.729,29.9401,1693.98,535.771,323345.0,367.791,0.3152,41165.8,718.248,1306.33,1301.92,4147.49,3377.56,570.731,1271.04,2184.37,27097.1,640.719,5.3577,3317.05,1017.96,36.8736,0.9455,24.2673,0.0,14.8818,308.843,11557.8,2855.34,870.154,286.48,12347.6,5971.64,1444.37,1443.11,145.603,51.6861,5.988,175.228,571.699,24.5824,7.879,5190.36,358.021,1035.93,28.0492,1243.93,2.8364,677.277,4644.82,7.879,5624.96,8112.2,201.387,1642.61,241.412,7402.77,4219.98,5105.89,285.534,2497.01,631.894,6534.83,13229.4,160.416,138.355,4.7274,6189.41,37.1888,11336.8,192.247,10971.6,86.6436,115.348,445.355,1236.68,17022.7,378.191,3890.95,3.1516,476.205,454.144,0.0,961.866,53.2619,4233.53,1075.95,17.0186,29.9401,9298.77,5338.8,255.909,484.084,1762.69,401.198,88.8749,72.1714,707.532,9477.47,250.552,1205.8,9916.42,773.854,3273.24,59.8802,2140.88,3152.54,3414.75,971.636,13.2367,47.2739,446.896,11123.9,807.438,3635.36,171.447,336.905,2496.69,309.801,22.6915,0.9455,2361.8,3196.34,4319.57,219.351,143.082,115.348,161.992,3526.0,15908.3,6179.33,2680.41,42092.0,5469.81,386.385,5069.65,821.62,2.2061,14.8125,2.8364,445.005,18180.9,3012.61,1713.84
TCGA-A1-A0SO-01,15.4101,2509.42,8513.97,3078.51,1136.84,2.9739,3.5146,1127.1,65.9662,16.2212,2332.88,449.598,285.493,1775.14,1734.32,1585.31,2044.14,3998.93,200.061,1346.63,1001.66,2270.7,56.5039,366.87,1095.98,129.229,96.2458,615.865,288.737,444.461,6537.14,1188.2,130.313,4190.48,446.353,1818.13,4311.6,582.611,169.241,1021.94,85.1613,558.009,165.186,820.523,18805.5,13771.3,184.111,0.2704,42.4455,1262.55,91462.7,1358.8,0.0,2936.31,84.6206,9205.26,294.685,1154.68,1711.34,23.7911,731.306,1101.42,1330.14,9483.46,9321.78,16.7619,1164.09,863.238,14.5991,583.423,1179.82,559.902,3998.26,421.481,39.2012,8904.9,18.9247,29.6632,1192.8,21876.7,146.802,501.776,42.9862,339.564,143.828,0.8111,291.441,407.152,14.8694,1003.01,253.862,51851.3,75.1582,0.0,29025.1,825.659,838.907,69.7512,2913.33,4272.94,493.125,932.178,199.521,47073.9,582.341,114.359,1885.17,632.627,18.9247,1.3518,24.6022,0.0,28.8224,311.709,17257.2,2030.08,388.498,287.656,1877.06,2566.46,2.7035,1033.29,52.1782,48.1229,0.2704,43.2565,165.727,67.8587,2.1628,5421.67,115.711,1448.01,52.4486,1129.27,86.5131,506.913,4180.74,18.1137,4029.35,5154.29,189.788,1791.9,160.32,337.131,3400.5,3414.02,307.392,3728.71,37.8495,585.045,6394.94,253.862,5529.0,2.1628,52.9893,167.349,7324.8,692.375,4513.82,293.087,17.8433,338.207,732.387,5957.24,1139.81,666.151,15.9508,125.985,870.808,0.0,750.501,37.8495,5932.09,1239.03,18.1137,5.6774,6619.87,8064.91,145.45,903.251,6654.33,450.409,185.192,78.6728,4.8664,4016.37,232.234,541.788,6979.19,134.201,3666.8,93.0016,2001.7,7075.96,5029.11,802.679,10.5438,113.819,49.745,5261.35,1054.65,13755.9,14.8694,179.244,529.622,1530.2,476.092,1.6221,1563.72,4940.17,4105.86,18.1137,224.664,208.983,210.335,3779.81,10193.4,4089.37,4952.43,73378.8,3241.09,485.825,1376.64,5951.83,0.0,0.5407,6.7588,1177.66,7468.51,3470.26,3373.2
TCGA-A1-A0SP-01,41.5907,1981.39,4419.55,2400.58,558.19,1.8242,189.347,698.65,2891.28,456.403,2327.25,735.498,751.186,2599.42,1149.22,1441.49,402.043,845.64,178.402,733.309,268.88,2516.24,125.137,1476.83,1231.57,25444.0,487.048,706.312,472.455,731.12,12129.9,1648.3,174.024,13149.9,1210.51,970.084,5161.26,3830.35,1883.25,2961.33,3861.36,303.174,676.031,543.962,8355.34,59462.2,1236.77,0.0,114.192,1448.74,7670.51,608.172,2.189,4324.33,2287.12,4500.55,736.228,1928.49,1412.26,19.7008,893.101,3171.11,4043.78,3113.46,5329.08,32.4699,483.765,272.893,129.88,3975.56,1281.28,85.0055,11701.6,469.901,327.983,13089.0,73.3309,479.391,753.74,512.587,159.796,124.042,301.715,536.665,131.339,229.478,1995.62,2353.89,212.696,1124.77,1410.43,284990.0,984.312,0.0,31154.7,245.896,1764.32,1276.54,2465.52,2481.21,541.762,902.226,1250.64,21661.8,1638.45,140.825,4667.27,4403.14,65.3046,10.9449,195.914,0.0,18.2415,1357.08,8328.35,3583.0,1949.29,503.466,5389.64,5147.03,459.686,4323.97,165.268,137.541,0.0,150.675,1051.44,82.0868,56.5487,9332.73,1357.9,714.338,351.697,4207.22,52.1707,2378.33,7731.85,62.7508,2247.36,3747.9,24.0788,1670.92,344.035,3867.2,4866.84,4907.7,97.4097,1462.6,102.153,3659.25,11589.6,1449.84,3369.21,6.5669,5011.31,18.9712,7430.34,310.445,5630.06,36.7749,215.25,701.817,1872.67,10616.2,539.584,700.474,16.7822,1388.54,1443.63,0.0,1416.27,144.838,4601.97,403.867,33.9292,44.5093,4487.78,3500.91,235.68,439.985,1598.69,523.896,368.479,60.9267,18.9712,3573.15,2127.69,418.46,6966.26,564.67,4529.73,740.97,3921.93,4409.34,4019.34,1234.22,32.1051,175.483,71.5067,2861.73,1057.28,7420.65,1248.08,709.96,2913.54,1017.88,197.738,0.7297,3561.11,6025.17,4079.53,107.625,647.574,775.994,550.894,3146.3,3432.32,367.019,4626.16,26971.2,2471.65,530.098,1949.29,3445.82,0.7297,41.9555,8.0263,489.602,10698.7,2907.33,1462.97
TCGA-A2-A04P-01,60.166,1816.39,8829.36,3456.95,439.834,1.0373,125.0,646.266,233.921,197.614,1909.23,4246.89,974.066,2046.16,1272.3,3041.95,294.087,744.03,152.49,26.4523,127.075,2133.3,187.241,817.946,960.659,357.956,881.224,1321.58,392.116,1607.88,8898.86,1290.98,229.253,2211.62,1027.49,674.274,3127.07,843.361,1610.48,1967.84,810.685,518.154,269.709,274.896,5530.08,92363.1,526.452,16.5975,110.996,1726.14,3741.66,1570.54,0.0,2333.51,2236.51,3249.48,828.838,586.618,1506.74,209.025,575.716,10838.2,941.909,2968.88,3134.85,48.7552,355.959,129.149,971.992,2054.46,2080.39,124.481,2340.25,554.461,326.764,1329.88,184.647,78.7085,683.61,1071.06,825.726,72.0954,172.199,1605.29,17.1162,1567.43,18443.5,1710.58,470.436,675.83,316.909,240147.0,209.544,0.5187,111379.0,258.299,1474.07,218.88,2912.34,4654.05,465.233,1939.32,1050.31,16314.8,4178.94,239.627,1230.29,2712.66,181.535,4.1494,126.037,0.0,457.209,1530.56,15651.5,10091.3,5501.56,900.415,1072.1,1443.46,13.4855,3637.45,223.029,459.544,0.5187,876.037,1614.63,524.378,341.286,11229.8,363.07,426.349,11.4108,2640.04,2.5934,515.56,6058.61,18.1535,1012.45,2348.55,151.452,2018.67,3028.53,188.278,1234.44,852.697,61.2033,781.12,207.469,552.386,19449.2,474.585,977.178,3.6307,518.672,61.722,7401.42,377.593,5387.97,108.75,585.062,915.088,3407.16,3217.32,27979.3,1229.77,154.564,1278.01,1274.38,0.0,3533.71,73.6515,4535.79,2133.3,479.772,30.083,3928.42,1568.98,194.502,293.05,1497.41,1500.0,442.427,43.0498,26.4523,782.158,784.751,3175.31,8026.88,751.504,2559.65,534.232,889.523,5460.06,4522.3,1492.22,58.0913,196.577,0.5187,1241.7,1516.6,1673.24,276.971,837.656,3375.52,881.743,220.436,6.7427,22791.0,6074.17,6934.65,168.569,993.776,492.739,4044.09,1550.31,2069.5,476.66,2486.31,61274.4,320.716,240.664,579.875,9983.4,1.0373,5.7054,5.1867,440.871,8728.73,1999.48,1605.29
TCGA-A2-A04Q-01,195.912,2242.19,2730.04,3306.98,436.946,19.2827,40.8793,1118.4,492.48,352.102,3291.94,2063.25,672.966,1360.2,1426.53,826.255,264.558,1556.39,104.126,339.761,99.8843,1531.43,425.376,1036.25,808.191,3871.87,2010.41,1246.82,351.33,1227.92,11086.0,1812.57,96.0278,10103.4,1898.19,736.213,3307.75,1665.64,1332.82,352.873,613.575,586.965,979.175,301.967,12447.4,76831.9,2829.93,0.0,289.24,2439.65,18261.8,17730.8,0.3857,4840.73,1811.42,2962.98,420.363,682.221,1086.0,14.6548,578.481,2200.54,281.142,3330.89,1734.28,45.5071,642.499,194.369,129.194,4111.45,1065.56,252.603,3480.91,1013.5,1094.49,7064.02,188.585,317.297,1687.23,1059.78,5.0135,146.163,605.091,666.41,75.5881,77.902,1183.96,1942.92,207.096,1120.32,983.031,63509.0,487.852,0.3857,43979.2,293.097,1572.31,1058.23,2682.99,3268.41,301.168,907.443,585.808,25846.5,3424.99,298.11,287.698,3736.21,177.786,4.2422,127.651,0.0,14.2692,5043.05,13214.0,3749.71,1641.34,512.919,274.2,961.82,23.9105,3317.78,1059.39,66.3324,0.0,432.703,3107.98,171.616,8.87,15082.9,512.919,780.563,1476.67,19047.0,1124.57,5600.85,9791.75,5.7848,806.788,1530.66,414.963,1045.51,3245.66,148.091,1558.04,2423.06,13.4979,808.33,572.31,659.468,7850.37,1697.26,713.845,8.87,2167.76,150.019,5242.58,357.115,2775.16,114.234,551.485,1460.74,2586.19,5088.7,364.057,1268.41,53.9915,919.013,1206.71,0.0,4201.7,77.5164,4816.04,930.197,89.8573,95.6421,3222.14,2107.21,394.138,190.899,2124.95,1084.07,961.82,44.7358,195.912,1441.96,2493.64,546.857,6019.65,734.948,4462.01,1356.34,1364.06,19834.6,8100.27,1295.03,32.7806,172.387,2.3139,1251.06,1744.31,1618.59,346.317,1256.46,4358.27,2039.34,642.885,5.7848,11490.9,6897.03,8500.19,38.1797,3251.83,821.828,2767.84,2833.78,2942.92,843.81,4172.6,33609.0,1056.14,164.674,673.737,1616.27,6.1705,7.3274,52.4489,929.425,8271.5,1366.76,1469.73
TCGA-A2-A04T-01,36.5122,1850.3,4430.84,2663.65,579.327,2.4341,51.8126,696.862,395.027,662.088,1929.24,472.225,805.355,2251.59,1096.41,1153.34,688.864,964.18,174.215,28.1666,836.304,3402.59,116.144,562.636,1635.14,703.816,583.848,1706.69,815.439,663.131,4564.03,1534.21,185.343,21558.9,668.347,2199.43,6820.13,1254.98,1769.28,610.276,80.3269,945.84,705.555,558.115,8988.26,17540.8,879.075,0.0,157.872,1913.59,7353.11,5468.49,0.0,4680.52,785.187,10832.3,349.474,1188.91,1554.03,9.3889,393.278,1767.89,481.613,4984.09,7593.15,125.88,418.673,256.629,28.5143,2629.23,675.65,222.203,3851.17,369.99,611.667,14911.2,118.578,52.8627,3654.7,2002.61,52.8558,137.703,258.715,784.491,26.0802,49.3784,500.391,669.391,87.977,592.193,290.011,127348.0,357.82,0.0,80238.9,410.328,3435.28,349.474,4151.61,2038.08,643.641,1394.07,625.228,60266.7,1094.67,77.545,1406.94,2569.42,42.4237,1.0432,34.7735,0.0,14.6049,867.906,9487.96,1466.75,355.038,404.764,2445.97,1347.13,196.123,1285.58,294.532,36.5122,89.368,126.576,612.362,62.5924,36.1645,8043.47,609.232,1002.87,640.181,2685.21,91.4544,1800.23,3867.86,20.8641,3148.74,5885.07,302.182,1148.92,676.345,327.219,3112.93,2826.74,46.5965,1359.65,252.804,3197.43,11007.9,1236.2,2610.8,6.607,604.364,966.009,6512.3,722.246,3829.96,65.4994,252.456,1302.65,1090.5,12046.9,786.925,1879.86,18.7777,256.976,1139.53,0.0,2525.6,168.652,3180.74,1010.87,358.863,33.0349,10598.6,3100.76,451.708,923.585,5397.9,628.01,277.493,131.792,302.53,3811.53,1106.84,477.093,6121.96,773.962,2560.38,465.27,3170.65,4626.97,4202.03,2431.37,13.2139,83.8042,13.5617,16231.6,1343.3,40404.1,278.536,439.19,2673.04,739.285,1820.74,0.3477,4298.01,4660.7,3276.36,47.6397,1240.72,1063.72,630.096,3224.9,5318.96,4180.82,3264.93,45351.3,4368.38,364.774,1920.89,99.8001,0.3477,12.5185,19.4732,1876.38,7292.01,3442.93,1363.47
TCGA-A2-A04U-01,6.7541,1450.58,4098.19,2589.43,230.16,0.0,112.742,180.283,611.508,125.211,2992.6,944.019,300.818,2060.53,546.045,2058.67,204.702,899.447,68.0608,1296.79,51.9548,2975.97,82.0886,530.978,2933.26,2102.6,406.806,2100.53,713.339,993.376,10908.9,928.952,83.6472,2444.99,1158.59,1475.0,14592.0,3504.35,1111.83,6742.69,833.875,226.523,1326.41,215.612,9293.67,87247.2,237.953,0.0,22.3406,2072.48,13837.6,158.462,8.3128,2965.06,136.641,3327.19,320.561,2269.91,883.232,443.694,48.8375,1975.84,295.623,2076.63,1849.07,1.5586,463.686,141.317,6.7541,816.729,1199.64,99.2337,4945.06,439.018,165.736,4909.73,138.2,420.044,2677.75,60677.5,33.7706,234.316,58.1894,648.915,5.715,3.6368,602.676,561.631,227.562,508.637,930.51,142637.0,254.578,0.0,44806.9,111.703,2143.66,227.042,2833.1,1592.93,714.379,1836.08,604.754,34979.1,1117.03,40.0052,2095.34,4619.82,102.871,0.5195,15.5864,0.0,9.3155,263.395,11113.7,1413.69,1110.27,521.626,378.75,879.075,6.2346,4140.28,136.641,201.585,0.0,158.982,602.676,38.4466,1.5586,6207.56,98.1946,375.114,204.182,3876.35,28.5751,1114.43,4769.97,2.5977,2179.5,3014.42,50.9157,1279.13,376.672,2256.92,1723.86,3018.57,316.405,1224.06,532.017,1867.26,24635.9,206.261,1438.63,1.5586,67.5412,275.88,2162.4,463.956,4891.54,300.849,200.546,412.755,2268.35,4311.73,134.563,1473.44,0.0,1033.9,1630.86,0.0,1733.73,27.536,2213.79,2203.92,15.0669,101.831,9891.67,4155.34,83.6472,208.339,1372.13,644.759,156.904,20.2624,19.7428,2508.38,1203.27,415.638,7223.37,522.541,9174.7,215.093,1412.13,2655.41,11534.5,352.253,75.854,49.3571,7.2737,3706.97,1577.87,1675.02,387.583,779.841,2375.89,856.735,80.0104,2.5977,14822.7,6060.53,9188.73,15.5864,327.315,1122.74,765.814,2365.5,3890.89,253.02,2077.65,32741.4,1209.57,197.948,342.902,5646.97,0.0,4.6759,6.2346,259.254,5795.04,2584.23,2813.35
TCGA-A2-A0CM-01,50.7673,1740.86,3559.71,2215.3,653.052,2.7691,27.2297,936.426,234.452,173.07,1795.78,1008.42,1219.34,1201.34,2318.68,994.623,366.447,1750.72,146.302,469.367,327.218,1161.65,258.452,536.749,1471.46,5759.32,864.428,1491.17,1686.4,780.432,9325.95,6585.44,130.158,8777.2,2273.91,689.05,2386.52,2389.29,1377.18,1669.78,1527.17,332.295,375.216,490.596,8542.75,103007.0,1448.25,0.923,178.147,1904.23,8726.35,8329.99,15.6917,7183.11,3227.88,5720.55,929.041,762.432,1581.63,9.2304,361.823,1966.54,243.221,2268.37,2735.43,1.3846,405.169,338.756,144.456,4343.83,1188.42,78.92,2072.69,540.441,501.419,8765.2,112.15,56.1901,1055.04,928.58,35.5371,25.8452,302.758,869.505,17.0763,0.4615,3121.26,1697.47,79.8431,537.21,697.358,54616.8,490.135,0.923,31421.7,459.213,953.04,516.903,3828.31,4102.0,835.795,1437.64,786.431,59784.9,2225.91,495.673,38.7677,1973.46,83.0737,5.9998,265.374,0.0,87.7628,5134.97,10549.4,3815.85,1385.49,952.117,787.354,1448.71,1137.65,2630.67,399.215,457.829,66.459,192.454,1297.33,255.683,4.1537,18554.5,480.905,929.503,955.348,7201.11,178.608,2636.21,10144.2,30.9219,1344.41,2041.31,281.989,1276.57,3203.42,468.443,3274.95,8041.08,18.4608,1283.95,80.7661,3315.56,13551.2,2674.51,2860.04,9.2304,637.36,41.5369,3669.93,431.06,3958.92,49.4566,266.298,1115.86,2367.6,17069.8,815.046,1958.23,7.8459,666.436,2240.68,0.0,5910.7,64.6129,4785.05,2786.2,72.9203,47.5366,2929.73,4015.23,464.29,530.287,2423.45,514.134,558.44,104.304,120.918,1847.01,1757.47,900.427,6226.23,768.709,5300.57,741.664,2669.44,12501.2,7144.8,427.83,20.7684,191.531,0.4615,2656.97,1296.41,2879.89,644.283,956.732,5335.64,1506.87,430.599,2.3076,4112.15,7030.81,9043.04,134.303,1556.25,3004.96,4056.77,4254.76,5072.11,3366.79,4751.58,33733.9,1124.8,195.223,1382.72,34.1525,1.8461,11.0765,68.7666,976.578,7410.64,4131.53,1824.85
TCGA-A2-A0D0-01,8.2372,2271.0,5709.23,2567.55,183.278,0.0,26.771,583.196,185.338,96.7875,2309.31,1788.3,681.631,1703.05,1900.33,2043.92,621.499,861.314,354.613,482.702,236.409,1827.43,209.638,2266.06,1594.38,3189.46,313.839,946.458,829.489,234.349,10023.9,4737.64,415.173,3393.33,469.934,1139.62,6175.04,2181.63,564.25,1492.59,167.628,51.0708,615.733,638.385,5236.82,19587.3,1087.73,3.2949,99.6705,2830.72,8729.39,1548.19,0.8237,3767.3,384.679,5629.32,127.677,1478.58,1866.56,2.0593,291.598,1942.34,189.868,2520.18,1812.19,1.6474,514.732,91.0214,6.1779,2432.45,981.878,53.1301,957.99,481.466,120.264,1561.78,44.4811,392.553,1213.34,138.797,205.107,609.967,158.567,412.274,16.0626,230.231,898.682,1040.36,14.4152,280.066,277.183,128726.0,686.985,0.4119,76733.5,417.216,1386.33,374.382,6494.23,3338.14,889.572,2764.0,859.555,37899.9,6051.89,7.4135,707.99,5890.44,53.542,32.9489,372.323,0.0,92.257,2826.94,9114.5,2637.15,1247.53,321.664,1895.39,1434.93,1288.3,4941.1,144.563,1216.64,2.0593,422.158,739.703,167.628,2.0593,11028.8,1129.32,459.226,712.109,2023.06,4390.03,4415.57,3678.75,7.8254,2537.48,3401.98,389.209,3414.74,2972.82,37.4794,15381.8,3435.34,19.3575,1610.38,102.965,1163.51,22823.7,1419.69,1943.58,0.0,552.718,0.0,6382.31,150.741,4692.34,20.5931,217.875,111.058,524.712,6694.81,511.532,845.964,0.4119,205.519,1242.59,0.0,3797.78,90.6096,1741.76,1593.9,30.8896,9.4728,3798.6,2386.33,122.323,909.802,1783.77,1189.46,719.11,21.8287,26.3591,1703.05,1513.59,161.45,11128.8,408.608,6186.99,579.489,2028.83,12246.3,3772.65,429.572,18.9456,16.8863,4.9423,5025.54,1760.71,7954.28,235.997,584.432,44917.2,1625.62,177.512,3.7068,12215.4,3206.75,2277.59,177.924,754.942,1294.48,3970.76,4535.83,6962.11,320.017,3633.41,47222.0,1867.11,415.568,904.036,3703.46,0.4119,1.6474,155.272,357.496,6696.87,2877.27,1864.09
TCGA-A2-A0D2-01,51.7464,1826.65,4493.81,4210.68,494.178,9.2404,72.8146,617.631,491.961,268.712,1924.97,833.857,696.359,4548.51,1406.39,1803.95,588.431,757.671,351.137,79.8374,117.538,2977.27,114.581,1315.47,1515.84,2761.41,358.529,1281.46,449.824,931.436,27736.1,3464.79,327.481,7465.53,2330.81,1221.96,4289.78,2253.19,880.798,842.358,313.436,873.406,95.7309,1299.94,9730.92,116649.0,1294.03,1.4785,275.735,3352.8,12711.5,2161.89,4.805,3983.74,290.519,10154.1,409.166,1303.64,1163.56,7.0227,197.745,4079.1,592.866,3414.16,1567.92,12.1974,680.059,137.498,39.5491,5669.19,802.07,156.718,2471.26,575.494,381.445,4189.24,451.303,299.364,4415.45,1214.19,16.2632,11.0885,221.031,905.932,25.5036,46.9414,2158.94,1493.62,87.969,673.813,371.466,109214.0,686.749,0.0,36634.3,630.198,3309.92,357.42,2479.76,3346.89,501.198,1410.46,527.814,58711.1,2905.93,321.937,153.761,3883.94,102.754,1.8481,28.0909,0.0,34.3744,864.498,17526.2,1790.06,1087.04,406.949,1222.69,691.185,213.269,7793.01,180.743,5304.38,0.0,151.543,1827.39,263.168,8.8708,7179.82,2759.56,659.028,448.716,7001.66,355.572,2994.27,15683.6,11.8278,1578.64,2389.21,246.905,1061.91,439.475,426.908,9537.24,2637.59,22.9163,1442.62,140.824,1291.44,11658.5,1381.63,1875.81,3.3266,415.45,435.409,7635.28,307.522,6706.34,25.0564,154.87,1953.45,2732.95,11968.2,507.485,1464.42,107.928,1427.83,3032.71,0.0,1835.15,74.2931,4002.59,480.133,33.6352,56.1819,6491.22,2655.33,188.505,682.314,1962.67,742.931,531.51,28.0909,8.8708,3458.88,2278.32,2199.59,5214.93,401.12,5564.22,469.784,2676.77,3258.92,6188.14,360.377,41.7668,208.095,2.9569,8751.06,1843.28,7802.99,99.4271,696.729,2658.29,2279.06,507.115,6.6531,12893.0,5795.97,4797.26,178.525,902.975,371.835,1017.19,2285.34,5885.05,653.114,2174.19,54004.1,6931.14,411.754,1085.94,94.2524,0.3696,2.9569,23.6555,670.116,6862.69,4845.68,1075.22
TCGA-A2-A0ST-01,261.362,1942.04,3181.26,2895.95,782.804,290.022,147.15,1514.28,1747.41,344.776,1824.83,1613.52,1041.6,1542.51,1424.45,384.066,297.722,1778.21,176.666,343.92,283.178,1916.8,586.034,1603.68,753.117,3257.32,2169.61,2084.91,1553.2,2264.14,19236.0,1084.38,119.773,8064.59,753.288,678.002,2486.58,1768.79,1570.31,1468.51,320.394,344.348,679.713,300.289,9055.29,22843.8,4422.2,2.9943,174.099,2645.28,10170.8,15711.7,0.0,2761.63,1717.46,4599.29,493.209,275.479,908.138,56.8923,639.504,6264.57,1134.42,4374.72,4503.48,189.498,342.145,242.969,1239.65,5092.5,1724.31,206.609,4182.23,474.388,1157.95,10357.4,266.923,355.256,1318.36,737.034,48.3371,162.122,708.801,923.11,103.946,1056.57,7585.07,1606.67,1040.74,1491.18,447.866,54609.3,722.917,1.2833,24668.2,522.297,1934.34,2467.76,2343.28,2675.65,294.715,949.631,381.563,34357.8,5317.93,301.144,427.762,4966.74,206.609,10.2663,336.649,0.8555,58.6034,6497.05,8286.17,6776.17,3411.83,858.518,4260.93,1047.16,567.64,2442.09,1315.37,85.5523,0.8555,504.759,2603.79,393.541,128.328,13652.9,996.685,604.855,20.9603,3556.84,1.2833,10653.4,5418.89,21.8158,1073.68,2115.28,346.059,842.263,1061.7,442.306,1722.6,4591.59,38.4986,1653.3,381.991,1983.96,10412.1,632.232,2538.77,6.4164,2278.69,41.9207,9418.4,326.382,1430.44,109.233,221.581,1594.79,1755.53,10084.5,632.66,1293.55,38.9263,910.705,709.657,0.0,3946.53,112.074,4200.62,2764.62,120.629,51.3314,2765.91,2238.05,316.116,155.278,2566.14,851.246,795.637,146.294,96.6742,1479.63,3746.34,563.79,4822.89,742.487,5340.18,1558.34,3239.44,26164.5,7292.48,1623.36,62.0255,271.629,1.2833,2964.39,1666.99,3214.2,525.719,1630.63,3654.8,3626.14,741.739,4.2776,6233.34,4193.78,6781.73,399.529,3045.24,1077.53,6824.51,2994.33,4806.76,3247.14,5127.29,27632.6,876.591,135.601,855.524,406.374,10.2663,29.9433,22.2436,1150.25,7009.73,1784.62,1402.2
